Name,HourlyRate,MonthlyBaseRate,RiceAllowance,PhoneAllowance,ClothingAllowance,06/03/2024,06/10/2024,06/17/2024,06/24/2024,07/01/2024,07/08/2024,07/15/2024,07/22/2024,07/29/2024,08/05/2024,08/12/2024,08/19/2024,08/26/2024,09/02/2024,09/09/2024,09/16/2024,09/23/2024,09/30/2024,10/07/2024,10/14/2024,10/21/2024,10/28/2024,11/04/2024,11/11/2024,11/18/2024,11/25/2024,12/02/2024,12/09/2024,12/16/2024,12/23/2024,12/30/2024
Manuel III Garcia,535.71,90000,1500.00,2000.00,1000.00,43.65,45.48,42.50,38.82,42.02,40.08,40.68,41.00,41.28,36.17,40.57,36.60,43.63,41.02,37.35,39.93,37.23,39.42,40.35,45.25,36.97,41.37,39.93,34.73,38.38,47.15,39.60,38.77,40.50,41.72,15.92
Antonio Lim,357.14,60000,1500.00,2000.00,1000.00,44.42,43.97,41.25,41.50,36.20,38.98,35.60,37.30,40.83,39.87,40.97,42.33,39.88,37.72,42.60,39.37,37.00,42.05,43.57,39.97,37.23,40.37,42.35,39.00,41.53,40.65,34.73,39.87,39.78,39.30,12.63
Bianca Sofia Aquino,357.14,60000,1500.00,2000.00,1000.00,40.22,38.95,41.02,35.60,39.37,44.17,35.95,42.55,44.80,40.17,37.15,39.22,42.48,38.43,40.70,38.68,37.35,40.45,40.43,41.15,40.87,36.42,42.68,42.37,43.72,39.80,39.12,37.25,39.13,36.80,16.68
Isabella Reyes,357.14,60000,1500.00,2000.00,1000.00,35.80,40.93,38.95,38.58,43.05,41.52,34.77,43.28,38.60,40.02,42.15,37.38,37.42,40.33,41.58,38.78,40.22,41.88,38.08,41.27,36.22,38.38,39.32,41.88,36.03,41.25,34.10,44.08,45.62,42.63,16.03
Eduard Hernandez,313.51,52670,1500.00,1000.00,1000.00,38.45,36.32,37.50,40.77,38.88,36.90,41.52,35.47,34.95,36.60,42.52,37.40,41.03,39.18,41.17,39.68,43.47,42.12,39.28,43.03,39.17,40.22,37.12,39.20,39.75,42.70,39.25,39.05,36.73,42.57,14.10
Andrea Mae Villanueva,313.51,52670,1500.00,1000.00,1000.00,40.92,38.62,39.23,43.40,36.48,36.72,43.00,36.63,40.57,39.72,37.13,42.32,42.27,38.88,40.43,37.42,35.30,39.77,42.28,36.18,37.42,39.77,41.45,39.15,37.65,43.03,43.62,36.03,42.07,46.03,16.25
Brad  San Jose,255.80,42975,1500.00,800.00,800.00,34.83,35.37,39.50,40.40,39.90,46.23,40.08,38.37,43.12,40.20,37.57,43.73,43.25,41.18,34.95,39.43,36.68,40.58,36.92,38.70,42.72,37.32,45.93,44.23,35.70,39.13,40.77,42.02,36.73,35.50,18.25
Alice Romualdez,133.93,22500,1500.00,500.00,500.00,37.03,42.18,36.00,39.63,37.38,42.38,38.45,43.80,41.83,41.08,39.23,42.37,44.85,41.17,37.47,41.70,42.32,42.63,40.05,42.48,37.70,42.18,42.87,37.85,38.58,41.05,39.15,42.10,44.88,40.75,15.92
Rosie  Atienza,133.93,22500,1500.00,500.00,500.00,39.93,40.77,41.15,39.67,36.20,36.72,38.42,44.62,37.78,42.08,38.43,38.98,39.85,38.42,40.37,37.85,40.30,38.93,37.82,42.90,42.18,41.17,43.62,36.40,42.20,47.10,42.05,39.93,43.85,43.88,16.02
Roderick Alvaro,313.51,52670,1500.00,1000.00,1000.00,38.92,41.32,37.12,32.90,41.28,40.40,42.73,38.70,39.53,37.32,42.83,40.52,38.68,39.03,39.93,36.47,35.85,41.60,38.77,47.92,38.23,42.83,38.62,38.32,43.52,39.78,40.93,41.00,38.90,42.30,16.02
